       logs | GIT_COMMIT=4b5d7ecfd1087f22002bc63658dc5ad3fe30927f GIT_BRANCH=master GIT_TAG=untagged GIT_TREE_STATE=dirty RELEASE_TAG=false DEV_BRANCH=false VERSION=latest
 controller | time="2021-09-11T20:52:06.115Z" level=debug msg="Skipped pod synchronization-wf-level-2-947b5 (synchronization-wf-level-2-947b5) creation: already exists" namespace=argo podPhase=Pending workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.115Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.115Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.115Z" level=debug msg="Log changes patch: {\"status\":{\"nodes\":{\"synchronization-wf-level-2-947b5\":{\"hostNodeName\":\"docker-desktop\",\"message\":\"ContainerCreating\"}}}}"
 controller | time="2021-09-11T20:52:06.134Z" level=info msg="Update workflows 200"
 controller | time="2021-09-11T20:52:06.135Z" level=info msg="Workflow update successful" namespace=argo phase=Running resourceVersion=8970069 workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:10.933Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:52:10.943Z" level=info msg="Update leases 200"
       logs | + synchronization-wf-level-2-947b5 › wait
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:07.450Z" level=info msg="Starting Workflow Executor" executorType=pns version=untagged
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:07.457Z" level=info msg="Creating a pns executor"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:07.457Z" level=info msg="Initialized PNS executor (namespace: argo, pod: synchronization-wf-level-2-947b5, pid: 9)"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:07.457Z" level=info msg="Executor initialized" deadline="0001-01-01 00:00:00 +0000 UTC" includeScriptOutput=false namespace=argo podName=synchronization-wf-level-2-947b5 template="{\"name\":\"whalesay\",\"inputs\":{},\"outputs\":{},\"metadata\":{},\"container\":{\"name\":\"\",\"image\":\"docker/whalesay:latest\",\"command\":[\"cowsay\"],\"args\":[\"hello world\"],\"resources\":{}},\"archiveLocation\":{\"archiveLogs\":true,\"s3\":{\"endpoint\":\"minio:9000\",\"bucket\":\"my-bucket\",\"insecure\":true,\"accessKeySecret\":{\"name\":\"my-minio-cred\",\"key\":\"accesskey\"},\"secretKeySecret\":{\"name\":\"my-minio-cred\",\"key\":\"secretkey\"},\"key\":\"synchronization-wf-level-2-947b5/synchronization-wf-level-2-947b5\"}}}" version="&Version{Version:untagged,BuildDate:2021-09-09T19:59:28Z,GitCommit:4b5d7ecfd1087f22002bc63658dc5ad3fe30927f,GitTag:untagged,GitTreeState:clean,GoVersion:go1.16.7,Compiler:gc,Platform:linux/amd64,}"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:07.458Z" level=info msg="Starting deadline monitor"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:11.700Z" level=info msg="secured root for pid 28 root: runc:[2:INIT] (\"/proc/28/root\")"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:11.700Z" level=info msg="mapped container name \"pid/28\" to pid 28"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:11.752Z" level=info msg="secured root for pid 28 root: runc:[2:INIT] (\"/proc/28/root\")"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:11.803Z" level=info msg="secured root for pid 28 root: cowsay (\"/proc/28/root\")"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:11.803Z" level=info msg="mapped container name \"main\" to pid 28"
 controller | time="2021-09-11T20:52:12.189Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.189Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:12.189Z" level=debug msg="argo/synchronization-wf-level-2-947b5 is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:12.189Z" level=info msg="Updating node synchronization-wf-level-2-947b5 status Pending -> Running" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.189Z" level=debug msg="Evaluating node synchronization-wf-level-2-947b5: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.189Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:12.189Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:12.189Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:12.189Z" level=debug msg="Executing node synchronization-wf-level-2-947b5 of Pod is Running" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.189Z" level=debug msg="Executing node synchronization-wf-level-2-947b5 with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.189Z" level=debug msg="Skipped pod synchronization-wf-level-2-947b5 (synchronization-wf-level-2-947b5) creation: already exists" namespace=argo podPhase=Running workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.190Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.190Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.190Z" level=debug msg="Log changes patch: {\"status\":{\"conditions\":[{\"status\":\"True\",\"type\":\"PodRunning\"}],\"nodes\":{\"synchronization-wf-level-2-947b5\":{\"message\":null,\"phase\":\"Running\"}}}}"
 controller | time="2021-09-11T20:52:12.201Z" level=info msg="Update workflows 200"
 controller | time="2021-09-11T20:52:12.202Z" level=info msg="Workflow update successful" namespace=argo phase=Running resourceVersion=8970090 workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.202Z" level=debug msg="Event(v1.ObjectReference{Kind:\"Workflow\", Namespace:\"argo\", Name:\"synchronization-wf-level-2-947b5\", UID:\"8444aef8-b41e-4a09-be29-7206326d2432\", APIVersion:\"argoproj.io/v1alpha1\", ResourceVersion:\"8970090\", FieldPath:\"\"}): type: 'Normal' reason: 'WorkflowNodeRunning' Running node synchronization-wf-level-2-947b5"
 controller | time="2021-09-11T20:52:12.209Z" level=info msg="Create events 201"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.439Z" level=info msg="Watch pods 200"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.457Z" level=info msg="Main container completed"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.457Z" level=info msg="No Script output reference in workflow. Capturing script output ignored"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.457Z" level=info msg="Saving logs"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.467Z" level=info msg="Getting output of main"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.481Z" level=info msg="List pods/log 200"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.488Z" level=info msg="S3 Save path: /tmp/argo/outputs/logs/main.log, key: synchronization-wf-level-2-947b5/synchronization-wf-level-2-947b5/main.log"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.488Z" level=info msg="Creating minio client using static credentials" endpoint="minio:9000"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.488Z" level=info msg="Saving file to s3" bucket=my-bucket endpoint="minio:9000" key=synchronization-wf-level-2-947b5/synchronization-wf-level-2-947b5/main.log path=/tmp/argo/outputs/logs/main.log
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.503Z" level=info msg="not deleting local artifact" localArtPath=/tmp/argo/outputs/logs/main.log
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.503Z" level=info msg="Successfully saved file: /tmp/argo/outputs/logs/main.log"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.503Z" level=info msg="No output parameters"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.503Z" level=info msg="No output artifacts"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.503Z" level=info msg="Annotating pod with output"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.525Z" level=info msg="Patch pods 200"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.531Z" level=info msg="Killing sidecars []"
       logs | synchronization-wf-level-2-947b5 wait time="2021-09-11T15:22:12.531Z" level=info msg="Alloc=6218 TotalAlloc=13978 Sys=73553 NumGC=4 Goroutines=9"
 controller | time="2021-09-11T20:52:12.622Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.623Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:12.623Z" level=debug msg="argo/synchronization-wf-level-2-947b5 is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:12.623Z" level=debug msg="Evaluating node synchronization-wf-level-2-947b5: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.623Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:12.623Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:12.623Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:12.623Z" level=debug msg="Executing node synchronization-wf-level-2-947b5 of Pod is Running" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.624Z" level=debug msg="Executing node synchronization-wf-level-2-947b5 with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.624Z" level=debug msg="Skipped pod synchronization-wf-level-2-947b5 (synchronization-wf-level-2-947b5) creation: already exists" namespace=argo podPhase=Running workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.624Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:12.624Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.254Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.254Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:13.254Z" level=debug msg="argo/synchronization-wf-level-2-947b5 is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:13.254Z" level=info msg="Updating node synchronization-wf-level-2-947b5 exit code 0" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.254Z" level=info msg="Setting node synchronization-wf-level-2-947b5 outputs: {\"artifacts\":[{\"name\":\"main-logs\",\"s3\":{\"key\":\"synchronization-wf-level-2-947b5/synchronization-wf-level-2-947b5/main.log\"}}]}" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.254Z" level=info msg="Updating node synchronization-wf-level-2-947b5 status Running -> Succeeded" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.255Z" level=debug msg="Evaluating node synchronization-wf-level-2-947b5: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.255Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:13.255Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:13.255Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:13.255Z" level=debug msg="Node synchronization-wf-level-2-947b5 already completed" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.255Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.255Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.255Z" level=info msg="Updated phase Running -> Succeeded" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.255Z" level=info msg="Marking workflow completed" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.255Z" level=info msg="Checking daemoned children of " namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.255Z" level=debug msg="Event(v1.ObjectReference{Kind:\"Workflow\", Namespace:\"argo\", Name:\"synchronization-wf-level-2-947b5\", UID:\"8444aef8-b41e-4a09-be29-7206326d2432\", APIVersion:\"argoproj.io/v1alpha1\", ResourceVersion:\"8970090\", FieldPath:\"\"}): type: 'Normal' reason: 'WorkflowSucceeded' Workflow completed"
 controller | time="2021-09-11T20:52:13.255Z" level=debug msg="Log changes patch: {\"metadata\":{\"labels\":{\"workflows.argoproj.io/completed\":\"true\",\"workflows.argoproj.io/phase\":\"Succeeded\"}},\"status\":{\"conditions\":[{\"status\":\"False\",\"type\":\"PodRunning\"},{\"status\":\"True\",\"type\":\"Completed\"}],\"finishedAt\":\"2021-09-11T15:22:13Z\",\"nodes\":{\"synchronization-wf-level-2-947b5\":{\"finishedAt\":\"2021-09-11T15:22:12Z\",\"outputs\":{\"artifacts\":[{\"name\":\"main-logs\",\"s3\":{\"key\":\"synchronization-wf-level-2-947b5/synchronization-wf-level-2-947b5/main.log\"}}],\"exitCode\":\"0\"},\"phase\":\"Succeeded\",\"resourcesDuration\":{\"cpu\":5,\"memory\":3}}},\"phase\":\"Succeeded\"}}"
 controller | time="2021-09-11T20:52:13.255Z" level=info msg="Lock has been released by argo/synchronization-wf-level-2-947b5. Available locks: 1" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:13.255Z" level=info msg="argo/synchronization-wf-level-2-947b5 released a lock from argo/Mutex/test"
 controller | time="2021-09-11T20:52:13.255Z" level=debug msg="Removed from queue: argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:13.255Z" level=info msg="Released all acquired locks" key=synchronization-wf-level-2-947b5 namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.265Z" level=info msg="Create events 201"
 controller | time="2021-09-11T20:52:13.276Z" level=info msg="Update workflows 200"
 controller | time="2021-09-11T20:52:13.277Z" level=info msg="Workflow update successful" namespace=argo phase=Succeeded resourceVersion=8970096 workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:13.277Z" level=debug msg="Event(v1.ObjectReference{Kind:\"Workflow\", Namespace:\"argo\", Name:\"synchronization-wf-level-2-947b5\", UID:\"8444aef8-b41e-4a09-be29-7206326d2432\", APIVersion:\"argoproj.io/v1alpha1\", ResourceVersion:\"8970096\", FieldPath:\"\"}): type: 'Normal' reason: 'WorkflowNodeSucceeded' Succeeded node synchronization-wf-level-2-947b5"
 controller | time="2021-09-11T20:52:13.277Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-2-947b5 for delete in 10m0s"
 controller | time="2021-09-11T20:52:13.277Z" level=info msg="argo/synchronization-wf-level-2-947b5 released a lock from argo/Mutex/test"
 controller | time="2021-09-11T20:52:13.277Z" level=debug msg="Removed from queue: argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:13.282Z" level=info msg="cleaning up pod" action=labelPodCompleted key=argo/synchronization-wf-level-2-947b5/labelPodCompleted
 controller | time="2021-09-11T20:52:13.282Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-2-947b5 for delete in 10m0s"
 controller | time="2021-09-11T20:52:13.294Z" level=info msg="Create events 201"
 controller | time="2021-09-11T20:52:13.308Z" level=info msg="Patch pods 200"
 controller | time="2021-09-11T20:52:15.002Z" level=info msg="Deleting TTL expired workflow 'argo/synchronization-wf-level-ml8kh'"
 controller | time="2021-09-11T20:52:15.026Z" level=info msg="Delete workflows 200"
 controller | time="2021-09-11T20:52:15.026Z" level=info msg="Successfully deleted 'argo/synchronization-wf-level-ml8kh'"
 controller | time="2021-09-11T20:52:15.775Z" level=debug msg="Syncing all CronWorkflows"
 controller | time="2021-09-11T20:52:15.952Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:52:15.965Z" level=info msg="Update leases 200"
 controller | time="2021-09-11T20:52:20.971Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:52:20.986Z" level=info msg="Update leases 200"
 controller | time="2021-09-11T20:52:24.003Z" level=info msg="Deleting TTL expired workflow 'argo/synchronization-wf-level-m4lsh'"
 controller | time="2021-09-11T20:52:24.020Z" level=info msg="Delete workflows 200"
 controller | time="2021-09-11T20:52:24.020Z" level=info msg="Successfully deleted 'argo/synchronization-wf-level-m4lsh'"
 controller | time="2021-09-11T20:52:25.776Z" level=debug msg="Syncing all CronWorkflows"
 controller | time="2021-09-11T20:52:25.995Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:52:26.010Z" level=info msg="Update leases 200"
 controller | time="2021-09-11T20:52:31.019Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:52:31.028Z" level=info msg="Update leases 200"
